ds,ts
2010-03-12,1.0
2010-03-13,1.0
2010-03-14,1.0
2010-03-15,1.0
2010-03-16,1.0
2010-03-17,1.0
2010-03-18,1.0
2010-03-19,2.0
2010-03-20,1.0
2010-03-21,3.0
2010-03-22,1.0
2010-03-23,1.0
2010-03-24,1.0
2010-03-25,2.0
2010-03-26,1.0
2010-03-27,1.0
2010-03-28,3.0
2010-03-29,1.0
2010-03-30,1.0
2010-03-31,1.0
2010-04-01,1.0
2010-04-02,1.0
2010-04-03,3.0
2010-04-04,4.0
2010-04-05,1.0
2010-04-06,1.0
2010-04-07,1.0
2010-04-08,2.0
2010-04-09,1.0
2010-04-10,1.0
2010-04-11,2.0
2010-04-12,1.0
2010-04-13,1.0
2010-04-14,1.0
2010-04-15,1.0
2010-04-16,2.0
2010-04-17,1.0
2010-04-18,1.0
2010-04-19,1.0
2010-04-20,2.0
2010-04-21,1.0
2010-04-22,1.0
2010-04-23,1.0
2010-04-24,1.0
2010-04-25,1.0
2010-04-26,2.0
2010-04-27,1.0
2010-04-28,1.0
2010-04-29,1.0
2010-04-30,1.0
2010-05-01,1.0
2010-05-02,1.0
2010-05-03,1.0
2010-05-04,1.0
2010-05-05,1.0
2010-05-06,2.0
2010-05-07,1.0
2010-05-08,1.0
2010-05-09,1.0
2010-05-10,1.0
2010-05-11,1.0
2010-05-12,2.0
2010-05-13,1.0
2010-05-14,1.0
2010-05-15,1.0
2010-05-16,1.0
2010-05-17,1.0
2010-05-18,1.0
2010-05-19,1.0
2010-05-20,1.0
2010-05-21,1.0
2010-05-22,3.0
2010-05-23,1.0
2010-05-24,1.0
2010-05-25,1.0
2010-05-26,1.0
2010-05-27,1.0
2010-05-28,2.0
2010-05-29,2.0
2010-05-30,1.0
2010-05-31,3.0
2010-06-01,3.0
2010-06-02,1.0
2010-06-03,1.0
2010-06-04,1.0
2010-06-05,1.0
2010-06-06,4.0
2010-06-07,1.0
2010-06-08,1.0
2010-06-09,1.0
2010-06-10,2.0
2010-06-11,5.0
2010-06-12,1.0
2010-06-13,1.0
2010-06-14,1.0
2010-06-15,1.0
2010-06-16,1.0
2010-06-17,1.0
2010-06-18,2.0
2010-06-19,1.0
2010-06-20,1.0
2010-06-21,1.0
2010-06-22,1.0
2010-06-23,1.0
2010-06-24,1.0
2010-06-25,2.0
2010-06-26,1.0
2010-06-27,1.0
2010-06-28,2.0
2010-06-29,1.0
2010-06-30,1.0
2010-07-01,1.0
2010-07-02,1.0
2010-07-03,2.0
2010-07-04,1.0
2010-07-05,1.0
2010-07-06,1.0
2010-07-07,1.0
2010-07-08,1.0
2010-07-09,1.0
2010-07-10,2.0
2010-07-11,2.0
2010-07-12,2.0
2010-07-13,1.0
2010-07-14,2.0
2010-07-15,2.0
2010-07-16,2.0
2010-07-17,1.0
2010-07-18,2.0
2010-07-19,2.0
2010-07-20,1.0
2010-07-21,1.0
2010-07-22,1.0
2010-07-23,2.0
2010-07-24,1.0
2010-07-25,1.0
2010-07-26,3.0
2010-07-27,1.0
2010-07-28,1.0
2010-07-29,1.0
2010-07-30,2.0
2010-07-31,1.0
2010-08-01,1.0
2010-08-02,1.0
2010-08-03,1.0
2010-08-04,1.0
2010-08-05,2.0
2010-08-06,1.0
2010-08-07,1.0
2010-08-08,1.0
2010-08-09,3.0
2010-08-10,1.0
2010-08-11,1.0
2010-08-12,1.0
2010-08-13,1.0
2010-08-14,1.0
2010-08-15,2.0
2010-08-16,3.0
2010-08-17,4.0
2010-08-18,1.0
2010-08-19,2.0
2010-08-20,1.0
2010-08-21,1.0
2010-08-22,1.0
2010-08-23,3.0
2010-08-24,3.0
2010-08-25,1.0
2010-08-26,3.0
2010-08-27,2.0
2010-08-28,3.0
2010-08-29,1.0
2010-08-30,3.0
2010-08-31,2.0
2010-09-01,4.0
2010-09-02,1.0
2010-09-03,1.0
2010-09-04,1.0
2010-09-05,3.0
2010-09-06,2.0
2010-09-07,5.0
2010-09-08,1.0
2010-09-09,2.0
2010-09-10,1.0
2010-09-11,2.0
2010-09-12,1.0
2010-09-13,2.0
2010-09-14,1.0
2010-09-15,1.0
2010-09-16,2.0
2010-09-17,2.0
2010-09-18,2.0
2010-09-19,1.0
2010-09-20,5.0
2010-09-21,4.0
2010-09-22,1.0
2010-09-23,2.0
2010-09-24,1.0
2010-09-25,4.0
2010-09-26,2.0
2010-09-27,3.0
2010-09-28,5.0
2010-09-29,1.0
2010-09-30,3.0
2010-10-01,1.0
2010-10-02,1.0
2010-10-03,3.0
2010-10-04,1.0
2010-10-05,3.0
2010-10-06,1.0
2010-10-07,1.0
2010-10-08,1.0
2010-10-09,3.0
2010-10-10,2.0
2010-10-11,3.0
2010-10-12,3.0
2010-10-13,1.0
2010-10-14,2.0
2010-10-15,1.0
2010-10-16,1.0
2010-10-17,1.0
2010-10-18,3.0
2010-10-19,1.0
2010-10-20,1.0
2010-10-21,3.0
2010-10-22,1.0
2010-10-23,1.0
2010-10-24,4.0
2010-10-25,4.0
2010-10-26,1.0
2010-10-27,1.0
2010-10-28,4.0
2010-10-29,2.0
2010-10-30,1.0
2010-10-31,1.0
2010-11-01,3.0
2010-11-02,1.0
2010-11-03,2.0
2010-11-04,1.0
2010-11-05,3.0
2010-11-06,2.0
2010-11-07,2.0
2010-11-08,5.0
2010-11-09,1.0
2010-11-10,1.0
2010-11-11,3.0
2010-11-12,2.0
2010-11-13,3.0
2010-11-14,1.0
2010-11-15,5.0
2010-11-16,3.0
2010-11-17,1.0
2010-11-18,4.0
2010-11-19,1.0
2010-11-20,2.0
2010-11-21,2.0
2010-11-22,3.0
2010-11-23,1.0
2010-11-24,1.0
2010-11-25,1.0
2010-11-26,1.0
2010-11-27,3.0
2010-11-28,1.0
2010-11-29,3.0
2010-11-30,1.0
2010-12-01,3.0
2010-12-02,1.0
2010-12-03,1.0
2010-12-04,1.0
2010-12-05,3.0
2010-12-06,2.0
2010-12-07,1.0
2010-12-08,2.0
2010-12-09,1.0
2010-12-10,2.0
2010-12-11,1.0
2010-12-12,2.0
2010-12-13,1.0
2010-12-14,2.0
2010-12-15,2.0
2010-12-16,1.0
2010-12-17,1.0
2010-12-18,1.0
2010-12-19,2.0
2010-12-20,1.0
